"","overall","age","wage_eur","international_reputation","is_sub","Top_Club","value_eur","height_cm","weight_kg","release_clause_eur"
"1",73,23,11000,1,1,"other",5e+06,185,76,8500000
"2",73,25,16000,1,1,"other",4700000,184,84,6900000
"3",64,24,1000,1,1,"other",625000,175,68,969000
"4",66,27,3000,1,0,"other",650000,177,69,1e+06
"5",62,30,1000,1,0,"other",240000,177,73,372000
"6",72,19,5000,1,1,"Top_20",4900000,183,76,10800000
"7",75,28,19000,2,1,"other",7e+06,188,86,11900000
"8",65,23,2000,1,0,"other",725000,180,75,1400000
"9",72,32,19000,1,1,"other",1900000,179,74,3500000
"10",60,22,1000,1,1,"other",270000,175,65,392000
"11",60,23,1000,1,0,"other",3e+05,174,73,585000
"12",60,21,2000,1,1,"other",450000,184,75,0
"13",63,27,1000,1,1,"other",375000,185,78,572000
"14",70,36,4000,1,1,"other",375000,183,76,6e+05
"15",68,29,5000,1,0,"other",775000,172,72,1200000
"16",65,31,2000,1,0,"other",475000,177,68,594000
"17",50,22,2000,1,1,"other",50000,182,75,88000
"18",73,31,27000,1,0,"other",3e+06,186,77,5100000
"19",70,31,10000,1,0,"other",1600000,181,71,3e+06
"20",60,20,1000,1,1,"other",325000,178,72,569000
"21",65,20,1000,1,1,"other",8e+05,186,78,1800000
"22",61,18,2000,1,1,"other",525000,184,80,1200000
"23",65,23,3000,1,0,"other",8e+05,182,70,1600000
"24",51,19,1000,1,1,"other",80000,178,72,158000
"25",64,21,2000,1,1,"other",650000,179,75,0
"26",60,26,1000,1,0,"other",260000,194,85,397000
"27",73,28,17000,1,1,"other",3400000,179,75,4500000
"28",68,22,11000,1,1,"other",1300000,180,65,2900000
"29",73,26,13000,1,0,"other",5e+06,181,78,10300000
"30",65,26,1000,1,1,"other",625000,178,72,953000
"31",59,20,1000,1,1,"other",280000,180,70,462000
"32",65,28,3000,1,1,"other",550000,172,69,743000
"33",62,30,2000,1,0,"other",280000,196,87,490000
"34",72,19,1000,1,1,"Top_20",6e+06,175,67,16400000
"35",75,26,46000,1,1,"other",8500000,189,88,15900000
"36",57,24,1000,1,0,"other",130000,183,72,202000
"37",79,27,43000,2,0,"other",13500000,188,84,26700000
"38",59,24,1000,1,1,"other",2e+05,175,64,325000
"39",70,22,11000,1,1,"other",2200000,174,73,5100000
"40",56,22,2000,1,1,"other",140000,179,78,203000
"41",65,24,3000,1,1,"other",650000,182,75,1100000
"42",64,30,3000,1,0,"other",425000,188,82,744000
"43",64,31,2000,1,1,"other",325000,185,75,488000
"44",67,29,6000,1,0,"other",750000,188,85,938000
"45",64,18,1000,1,1,"other",925000,176,60,2800000
"46",65,20,1000,1,1,"other",950000,186,81,2300000
"47",56,27,1000,1,1,"other",1e+05,179,69,155000
"48",59,24,1000,1,1,"other",180000,173,68,284000
"49",77,32,25000,1,0,"other",5500000,180,80,9400000
"50",67,21,4000,1,1,"other",1200000,185,65,0
"51",72,20,21000,1,1,"other",5e+06,191,80,10400000
"52",62,30,1000,1,1,"other",250000,188,80,363000
"53",72,24,26000,2,0,"other",3500000,182,74,0
"54",66,21,7000,1,1,"other",1400000,186,74,3300000
"55",71,26,11000,1,0,"other",2800000,179,71,4400000
"56",60,19,3000,1,1,"other",260000,180,70,546000
"57",66,24,6000,1,1,"other",850000,177,63,1800000
"58",82,24,59000,1,1,"Top_10",2.9e+07,171,68,61600000
"59",65,25,3000,1,1,"other",6e+05,185,85,945000
"60",66,23,10000,1,1,"other",950000,167,64,2e+06
"61",64,32,1000,1,0,"other",280000,179,78,350000
"62",68,22,6000,1,0,"other",1300000,171,68,2100000
"63",66,33,3000,1,1,"other",3e+05,183,87,525000
"64",75,23,25000,2,0,"other",8500000,180,73,0
"65",71,30,0,1,0,"other",0,177,73,0
"66",61,24,2000,1,1,"other",3e+05,176,72,443000
"67",71,27,26000,1,1,"other",2500000,187,75,4400000
"68",71,31,6000,1,0,"other",2e+06,170,65,2500000
"69",73,30,11000,1,0,"other",3900000,175,65,0
"70",62,25,1000,1,0,"other",375000,174,75,534000
"71",81,22,26000,2,0,"Top_30",2.4e+07,175,66,35400000
"72",66,25,4000,1,1,"other",8e+05,178,70,1600000
"73",60,30,3000,1,1,"other",160000,183,74,256000
"74",87,30,130000,4,0,"Top_20",4.1e+07,191,94,67700000
"75",57,20,1000,1,1,"other",230000,185,74,0
"76",58,20,1000,1,1,"other",210000,173,70,357000
"77",66,26,2000,1,0,"other",7e+05,185,74,928000
"78",67,25,3000,1,1,"other",975000,185,79,1400000
"79",68,27,26000,1,1,"other",925000,181,86,1800000
"80",67,23,1000,1,0,"other",925000,183,75,1600000
"81",52,20,1000,1,1,"other",80000,178,66,156000
"82",63,18,3000,1,1,"Top_20",825000,178,65,2200000
"83",64,28,1000,1,0,"other",4e+05,181,77,540000
"84",73,24,7000,1,1,"other",5500000,184,75,9200000
"85",68,28,7000,1,1,"other",9e+05,178,76,1300000
"86",62,23,1000,1,1,"other",425000,179,72,829000
"87",55,21,1000,1,1,"other",130000,178,70,228000
"88",65,22,6000,1,1,"other",750000,177,70,1400000
"89",66,27,5000,1,1,"other",675000,178,77,1300000
"90",63,23,2000,1,1,"other",425000,185,76,648000
"91",66,27,3000,1,1,"other",725000,182,70,961000
"92",64,20,1000,1,0,"other",1e+06,176,70,0
"93",68,22,7000,1,1,"other",1400000,176,70,2500000
"94",64,22,3000,1,1,"other",7e+05,183,74,1300000
"95",70,25,7000,1,0,"other",2200000,180,71,4100000
"96",62,24,1000,1,0,"other",375000,185,83,497000
"97",74,26,27000,1,1,"other",6500000,183,80,11500000
"98",68,21,4000,1,0,"other",1400000,180,84,0
"99",59,26,1000,1,0,"other",180000,178,81,293000
"100",78,27,45000,1,1,"Top_30",10500000,170,68,18600000
"101",68,26,4000,1,1,"other",1100000,183,70,1700000
"102",69,24,9000,1,1,"other",1300000,170,68,1800000
"103",54,19,2000,1,1,"other",1e+05,167,60,190000
"104",60,20,1000,1,1,"other",325000,186,78,504000
"105",56,26,1000,1,0,"other",110000,178,60,201000
"106",65,20,3000,1,1,"other",775000,191,87,1400000
"107",64,32,4000,1,1,"other",350000,178,75,508000
"108",67,24,3000,1,0,"other",1100000,181,81,2400000
"109",64,27,2000,1,0,"other",5e+05,191,82,913000
"110",65,27,1000,1,0,"other",525000,174,76,748000
"111",62,23,1000,1,0,"other",425000,195,90,829000
"112",72,34,6000,1,0,"other",1200000,175,71,1600000
"113",71,26,11000,1,0,"other",2800000,167,65,4400000
"114",61,25,3000,1,1,"other",3e+05,183,70,585000
"115",58,21,1000,1,1,"other",220000,171,67,374000
"116",65,25,3000,1,0,"other",675000,188,77,1e+06
"117",72,25,0,1,0,"other",0,179,77,0
"118",60,19,5000,1,1,"other",325000,174,68,683000
"119",69,27,5000,1,1,"other",1200000,176,69,0
"120",64,21,2000,1,1,"other",825000,191,78,1500000
"121",65,34,2000,1,0,"other",2e+05,180,88,350000
"122",70,24,7000,1,0,"other",2100000,186,76,3400000
"123",71,22,8000,1,1,"other",2900000,175,72,4900000
"124",58,19,1000,1,1,"other",220000,188,67,523000
"125",67,29,3000,1,1,"other",725000,178,74,1200000
"126",55,18,1000,1,0,"other",150000,185,75,281000
"127",64,20,1000,1,1,"other",750000,184,81,1700000
"128",69,31,6000,1,1,"other",750000,168,60,1400000
"129",65,23,3000,1,1,"other",750000,175,72,1200000
"130",62,35,1000,1,1,"other",140000,178,78,245000
"131",67,32,1000,1,0,"other",5e+05,186,78,675000
"132",65,23,1000,1,1,"other",750000,177,68,1300000
"133",63,23,3000,1,1,"other",475000,180,72,926000
"134",54,18,1000,1,1,"other",140000,180,71,270000
"135",76,33,17000,1,0,"other",4700000,192,83,7300000
"136",64,23,2000,1,1,"other",525000,179,74,853000
"137",70,27,8000,1,1,"other",1800000,185,70,3800000
"138",74,35,15000,1,1,"other",1800000,186,74,3400000
"139",56,19,1000,1,1,"other",180000,180,75,428000
"140",62,26,1000,1,1,"other",350000,173,74,534000
"141",71,32,17000,1,0,"other",1500000,188,87,2900000
"142",64,24,2000,1,1,"other",550000,178,75,839000
"143",78,22,24000,2,0,"other",1.3e+07,189,78,24700000
"144",62,21,1000,1,1,"other",525000,170,62,945000
"145",68,21,1000,1,1,"other",1600000,168,70,2400000
"146",56,20,1000,1,0,"other",140000,184,75,245000
"147",54,22,2000,1,1,"other",90000,186,82,149000
"148",70,28,23000,1,1,"other",1500000,184,78,3e+06
"149",56,22,2000,1,1,"other",130000,176,70,228000
"150",68,25,3000,1,0,"other",975000,188,77,1300000
"151",65,21,3000,1,1,"other",975000,186,73,2e+06
"152",67,22,19000,1,1,"other",1e+06,177,68,2200000
"153",65,22,2000,1,0,"other",750000,186,81,1200000
"154",70,27,2000,1,1,"other",1800000,177,73,2600000
"155",59,27,1000,1,1,"other",180000,192,86,329000
"156",61,22,1000,1,1,"other",425000,182,71,659000
"157",58,17,1000,1,1,"other",250000,174,62,650000
"158",83,24,120000,2,0,"Top_10",3.3e+07,192,80,56900000
