"","overall_transformed","age_tran","wage_tran","international_reputation","is_sub","Top_Club","value_tran","release_tran"
"1",29646.5979860793,7.08628242288099,1.21e+08,1,1,"other",2.5e+13,7.225e+13
"2",29646.5979860793,7.45123163898525,2.56e+08,1,1,"other",2.209e+13,4.761e+13
"3",21618.8176101031,7.27079286900546,1e+06,1,1,"other",3.90625e+11,9.38961e+11
"4",23275.8444024818,7.80086037616557,9e+06,1,0,"other",4.225e+11,1e+12
"5",20032.7261773365,8.30023899891754,1e+06,1,0,"other",5.76e+10,1.38384e+11
"6",28681.2444787277,6.30150451067143,2.5e+07,1,1,"Top_20",2.401e+13,1.1664e+14
"7",31633.4844321214,7.9704767893106,3.61e+08,2,1,"other",4.9e+13,1.4161e+14
"8",22438.4087936718,7.08628242288099,4e+06,1,0,"other",5.25625e+11,1.96e+12
"9",28681.2444787277,8.61842877960116,3.61e+08,1,1,"other",3.61e+12,1.225e+13
"10",18516.6748683181,6.89742513781528,1e+06,1,1,"other",7.29e+10,1.53664e+11
"11",18516.6748683181,7.08628242288099,1e+06,1,0,"other",9e+10,3.42225e+11
"12",18516.6748683181,6.7039137219579,4e+06,1,1,"other",2.025e+11,0
"13",20816.9605262596,7.80086037616557,1e+06,1,1,"other",1.40625e+11,3.27184e+11
"14",26806.2026241036,9.2243044729329,1.6e+07,1,1,"other",1.40625e+11,3.6e+11
"15",25004.6851532663,8.13688012439014,2.5e+07,1,0,"other",6.00625e+11,1.44e+12
"16",22438.4087936718,8.46070789930705,4e+06,1,0,"other",2.25625e+11,3.52836e+11
"17",11954.4062473755,6.89742513781528,4e+06,1,1,"other",2.5e+09,7.744e+09
"18",29646.5979860793,8.46070789930705,7.29e+08,1,0,"other",9e+12,2.601e+13
"19",26806.2026241036,8.46070789930705,1e+08,1,0,"other",2.56e+12,9e+12
"20",18516.6748683181,6.50540326910651,1e+06,1,1,"other",1.05625e+11,3.23761e+11
"21",22438.4087936718,6.50540326910651,1e+06,1,1,"other",6.4e+11,3.24e+12
"22",19266.0021327151,6.09177543102124,4e+06,1,1,"other",2.75625e+11,1.44e+12
"23",22438.4087936718,7.08628242288099,9e+06,1,0,"other",6.4e+11,2.56e+12
"24",12536.2724666846,6.30150451067143,1e+06,1,1,"other",6.4e+09,2.4964e+10
"25",21618.8176101031,6.7039137219579,4e+06,1,1,"other",4.225e+11,0
"26",18516.6748683181,7.62784626614106,1e+06,1,0,"other",6.76e+10,1.57609e+11
"27",29646.5979860793,7.9704767893106,2.89e+08,1,1,"other",1.156e+13,2.025e+13
"28",25004.6851532663,6.89742513781528,1.21e+08,1,1,"other",1.69e+12,8.41e+12
"29",29646.5979860793,7.62784626614106,1.69e+08,1,0,"other",2.5e+13,1.0609e+14
"30",22438.4087936718,7.62784626614106,1e+06,1,1,"other",3.90625e+11,9.08209e+11
"31",17784.6297377822,6.50540326910651,1e+06,1,1,"other",7.84e+10,2.13444e+11
